chrom,chromStart,chromEnd,name,score,strand,thickStart,thickEnd,itemRgb,blockCount,blockstart,blockSizes,blockStarts,blackend,start,end,Intron,severity
24943ref,1839,10458,JUNC00000035,236,+,1839,10458,255;0;0,2,142,150,0,8469,1981,10308,8327,1
24943ref,1203,8795,JUNC00000027,2,+,1203,8795,255;0;0,2,105,73,0,7519,1308,8722,7414,1
24943ref,1120,7710,JUNC00000023,2,+,1120,7710,255;0;0,2,82,148,0,6442,1202,7562,6360,1
24943ref,1124,6307,JUNC00000025,2,+,1124,6307,255;0;0,2,146,30,0,5153,1270,6277,5007,1
24943ref,2827,8065,JUNC00000039,238,+,2827,8065,255;0;0,2,92,143,0,5095,2919,7922,5003,1
24943ref,5459,10116,JUNC00000061,3,+,5459,10116,255;0;0,2,104,146,0,4511,5563,9970,4407,1
24943ref,5196,9309,JUNC00000058,2,+,5196,9309,255;0;0,2,141,112,0,4001,5337,9197,3860,1
24943ref,973,4126,JUNC00000019,3073,+,973,4126,255;0;0,2,149,150,0,3003,1122,3976,2854,1
24943ref,4257,5791,JUNC00000048,61,-,4257,5791,255;0;0,2,43,148,0,1386,4300,5643,1343,1
24943ref,5478,6831,JUNC00000063,93,+,5478,6831,255;0;0,2,148,149,0,1204,5626,6682,1056,1
24943ref,5018,6189,JUNC00000057,3,-,5018,6189,255;0;0,2,148,63,0,1108,5166,6126,960,1
24943ref,5789,6641,JUNC00000070,45,+,5789,6641,255;0;0,2,148,143,0,709,5937,6498,561,1
24943ref,6110,6665,JUNC00000073,6,-,6110,6665,255;0;0,2,145,57,0,498,6255,6608,353,1
24943ref,652,1133,JUNC00000007,12,+,652,1133,255;0;0,2,22,118,0,363,674,1015,341,1
24943ref,492,1126,JUNC00000005,60,+,492,1126,255;0;0,2,148,150,0,484,640,976,336,1
24943ref,7339,7681,JUNC00000079,1,-,7339,7681,255;0;0,2,97,54,0,288,7436,7627,191,1
24943ref,7316,7718,JUNC00000078,2,-,7316,7718,255;0;0,2,120,95,0,307,7436,7623,187,1
24943ref,8317,8636,JUNC00000097,1,+,8317,8636,255;0;0,2,121,30,0,289,8438,8606,168,1
24943ref,8298,8747,JUNC00000098,20,+,8298,8747,255;0;0,2,148,147,0,302,8446,8600,154,1
24943ref,468,818,JUNC00000003,29,-,468,818,255;0;0,2,60,149,0,201,528,669,141,1
24943ref,582,1013,JUNC00000009,176,+,582,1013,255;0;0,2,148,147,0,284,730,866,136,1
24943ref,4389,4755,JUNC00000053,261,-,4389,4755,255;0;0,2,143,88,0,278,4532,4667,135,1
24943ref,4412,4815,JUNC00000054,171,-,4412,4815,255;0;0,2,127,141,0,262,4539,4674,135,1
24943ref,5347,5779,JUNC00000060,27,-,5347,5779,255;0;0,2,150,148,0,284,5497,5631,134,1
24943ref,1719,1981,JUNC00000032,2,-,1719,1981,255;0;0,2,107,26,0,236,1826,1955,129,1
24943ref,494,805,JUNC00000004,94,+,494,805,255;0;0,2,52,149,0,162,546,656,110,1
24943ref,5784,6182,JUNC00000069,5,-,5784,6182,255;0;0,2,149,147,0,251,5933,6035,102,1
24943ref,8884,9276,JUNC00000101,10,+,8884,9276,255;0;0,2,146,146,0,246,9030,9130,100,1
24943ref,659,1019,JUNC00000010,131,+,659,1019,255;0;0,2,124,148,0,212,783,871,88,1
24943ref,7743,8071,JUNC00000087,7,-,7743,8071,255;0;0,2,92,149,0,179,7835,7922,87,1
24943ref,1701,2057,JUNC00000031,52,-,1701,2057,255;0;0,2,125,145,0,211,1826,1912,86,1
24943ref,3990,4372,JUNC00000046,900,-,3990,4372,255;0;0,2,150,150,0,232,4140,4222,82,1
24943ref,5018,5241,JUNC00000056,3,-,5018,5241,255;0;0,2,148,8,0,215,5166,5233,67,1
24943ref,7362,7725,JUNC00000081,105,-,7362,7725,255;0;0,2,149,147,0,216,7511,7578,67,1
24943ref,4370,4688,JUNC00000052,1288,-,4370,4688,255;0;0,2,127,133,0,185,4497,4555,58,1
24943ref,826,1171,JUNC00000014,20,+,826,1171,255;0;0,2,143,149,0,196,969,1022,53,1
24943ref,1800,2060,JUNC00000033,4,-,1800,2060,255;0;0,2,60,148,0,112,1860,1912,52,1
24943ref,5756,6015,JUNC00000066,16,-,5756,6015,255;0;0,2,64,145,0,114,5820,5870,50,1
24943ref,5680,5902,JUNC00000067,2,+,5680,5902,255;0;0,2,150,23,0,199,5830,5879,49,1
24943ref,2408,2753,JUNC00000037,64,+,2408,2753,255;0;0,2,148,150,0,195,2556,2603,47,1
24943ref,6645,6983,JUNC00000075,606,-,6645,6983,255;0;0,2,141,150,0,188,6786,6833,47,1
24943ref,949,1295,JUNC00000016,24,-,949,1295,255;0;0,2,150,150,0,196,1099,1145,46,1
24943ref,9017,9214,JUNC00000103,7,+,9017,9214,255;0;0,2,145,10,0,187,9162,9204,42,1
24943ref,6644,6968,JUNC00000074,102,-,6644,6968,255;0;0,2,134,150,0,174,6778,6818,40,1
24943ref,9090,9281,JUNC00000104,1,+,9090,9281,255;0;0,2,107,44,0,147,9197,9237,40,1
24943ref,5587,5924,JUNC00000064,43,+,5587,5924,255;0;0,2,149,149,0,188,5736,5775,39,1
24943ref,7964,8300,JUNC00000095,66,-,7964,8300,255;0;0,2,148,150,0,186,8112,8150,38,1
24943ref,7502,7835,JUNC00000083,56,-,7502,7835,255;0;0,2,147,150,0,183,7649,7685,36,1
24943ref,7512,7839,JUNC00000084,9,+,7512,7839,255;0;0,2,148,143,0,184,7660,7696,36,1
24943ref,1123,1453,JUNC00000024,15,+,1123,1453,255;0;0,2,147,148,0,182,1270,1305,35,1
