pvalue,features
5.919593563053553e-18,DVG_10004_10011
5.919593563053553e-18,DVG_10014_10036
5.919593563053553e-18,DVG_10014_10066
2.0582902272640723e-17,DVG_10016_10022
5.919593563053553e-18,DVG_1002_1015
4.59656590159633e-17,DVG_1002_1031
5.919593563053553e-18,DVG_1002_1034
6.893566391572793e-17,DVG_1002_1090
5.919593563053553e-18,DVG_1002_1230
5.919593563053553e-18,DVG_1002_1295
5.919593563053553e-18,DVG_1002_2393
5.919593563053553e-18,DVG_1002_3045
5.919593563053553e-18,DVG_1002_3678
8.845021610514211e-18,DVG_1002_5631
5.919593563053553e-18,DVG_1002_6551
4.955606293452932e-17,DVG_1002_8877
5.919593563053553e-18,DVG_10051_10163
5.919593563053553e-18,DVG_1005_8880
2.2599616582520533e-17,DVG_1007_1031
2.2599616582520533e-17,DVG_1007_1034
5.919593563053553e-18,DVG_1007_1055
5.919593563053553e-18,DVG_1007_1145
5.919593563053553e-18,DVG_1007_5636
2.5699563609207935e-17,DVG_10103_10155
6.960195459041694e-18,DVG_10106_10136
1.2208297449304807e-17,DVG_10106_10157
5.919593563053553e-18,DVG_10108_10200
5.919593563053553e-18,DVG_10111_10192
1.0965998893320002e-16,DVG_10115_10130
5.919593563053553e-18,DVG_10119_10130
5.919593563053553e-18,DVG_10124_10133
5.919593563053553e-18,DVG_10124_10136
5.919593563053553e-18,DVG_10125_10134
1.28428781552116e-17,DVG_10132_10177
6.230314844628748e-16,DVG_10137_10152
5.919593563053553e-18,DVG_10137_10177
5.919593563053553e-18,DVG_10142_10155
5.919593563053553e-18,DVG_10142_10166
2.3015060435113656e-16,DVG_10146_10192
5.919593563053553e-18,DVG_10155_10163
5.919593563053553e-18,DVG_10155_10215
7.089752622482812e-18,DVG_1015_10011
1.5519503678050953e-14,DVG_1015_1055
5.919593563053553e-18,DVG_1015_1079
5.919593563053553e-18,DVG_1015_1092
5.919593563053553e-18,DVG_1015_1192
1.0928865101261272e-16,DVG_1015_1308
5.919593563053553e-18,DVG_1015_1408
2.3100487678311192e-17,DVG_1015_1885
6.016645754425726e-17,DVG_1015_2034
5.919593563053553e-18,DVG_1015_2458
5.919593563053553e-18,DVG_1015_2771
5.919593563053553e-18,DVG_1015_3047
5.919593563053553e-18,DVG_1015_3894
2.3411380202816797e-17,DVG_1015_4288
5.919593563053553e-18,DVG_1015_4321
5.919593563053553e-18,DVG_1015_5000
5.919593563053553e-18,DVG_1015_7385
5.919593563053553e-18,DVG_1015_7551
6.119052037748771e-17,DVG_1015_7574
5.919593563053553e-18,DVG_1015_8665
8.958101336153273e-18,DVG_1015_8997
2.1921689130974123e-17,DVG_1015_9411
5.919593563053553e-18,DVG_10164_10177
1.3558338927052603e-17,DVG_10164_10192
5.919593563053553e-18,DVG_10167_10206
1.7786384946972473e-17,DVG_10167_10208
2.3737952763013958e-17,DVG_10167_10212
5.919593563053553e-18,DVG_10176_10192
5.919593563053553e-18,DVG_10176_10204
5.919593563053553e-18,DVG_10176_10238
6.842395840827405e-18,DVG_10192_10254
5.919593563053553e-18,DVG_1021_1084
5.919593563053553e-18,DVG_1021_2989
5.919593563053553e-18,DVG_1021_5971
5.919593563053553e-18,DVG_1022_6892
5.919593563053553e-18,DVG_1024_1037
5.919593563053553e-18,DVG_1024_3913
5.919593563053553e-18,DVG_1024_4273
5.919593563053553e-18,DVG_1024_4581
5.919593563053553e-18,DVG_1024_7585
5.919593563053553e-18,DVG_10254_10274
5.919593563053553e-18,DVG_10254_10377
